Age,Embarked,Fare,PassengerId,Pclass,Sex,Survived,Title,Family_size
25,S,7.8958,336,3,male,0,Mr,Alone
29,S,66.6,337,1,male,0,Mr,Small
41,C,134.5,338,1,female,1,Miss,Alone
45,S,8.05,339,3,male,1,Mr,Alone
45,S,35.5,340,1,male,0,Mr,Alone
2,S,26.0,341,2,male,1,Master,Small
24,S,263.0,342,1,female,1,Miss,Large
28,S,13.0,343,2,male,0,Mr,Alone
25,S,13.0,344,2,male,0,Mr,Alone
36,S,13.0,345,2,male,0,Mr,Alone
24,S,13.0,346,2,female,1,Miss,Alone
40,S,13.0,347,2,female,1,Miss,Alone
22,S,16.1,348,3,female,1,Mrs,Small
3,S,15.9,349,3,male,1,Master,Small
42,S,8.6625,350,3,male,0,Mr,Alone
23,S,9.225,351,3,male,0,Mr,Alone
42,S,35.0,352,1,male,0,Mr,Alone
15,C,7.2292,353,3,male,0,Mr,Small
25,S,17.8,354,3,male,0,Mr,Small
25,C,7.225,355,3,male,0,Mr,Alone
28,S,9.5,356,3,male,0,Mr,Alone
22,S,55.0,357,1,female,1,Miss,Small
38,S,13.0,358,2,female,0,Miss,Alone
22,Q,7.8792,359,3,female,1,Miss,Alone
22,Q,7.8792,360,3,female,1,Miss,Alone
40,S,27.9,361,3,male,0,Mr,Large
29,C,27.7208,362,2,male,0,Mr,Small
45,C,14.4542,363,3,female,0,Mrs,Small
35,S,7.05,364,3,male,0,Mr,Alone
25,Q,15.5,365,3,male,0,Mr,Small
30,S,7.25,366,3,male,0,Mr,Alone
60,C,75.25,367,1,female,1,Mrs,Small
22,C,7.2292,368,3,female,1,Mrs,Alone
22,Q,7.75,369,3,female,1,Miss,Alone
24,C,69.3,370,1,female,1,Mrs,Alone
25,C,55.4417,371,1,male,1,Mr,Small
18,S,6.4958,372,3,male,0,Mr,Small
19,S,8.05,373,3,male,0,Mr,Alone
22,C,135.6333,374,1,male,0,Mr,Alone
3,S,21.075,375,3,female,0,Miss,Large
36,C,82.1708,376,1,female,1,Mrs,Small
22,S,7.25,377,3,female,1,Miss,Alone
27,C,211.5,378,1,male,0,Mr,Small
20,C,4.0125,379,3,male,0,Mr,Alone
19,S,7.775,380,3,male,0,Mr,Alone
42,C,227.525,381,1,female,1,Miss,Alone
1,C,15.7417,382,3,female,1,Miss,Small
32,S,7.925,383,3,male,0,Mr,Alone
35,S,52.0,384,1,female,1,Mrs,Small
25,S,7.8958,385,3,male,0,Mr,Alone
18,S,73.5,386,2,male,0,Mr,Alone
1,S,46.9,387,3,male,0,Master,Large
36,S,13.0,388,2,female,1,Miss,Alone
25,Q,7.7292,389,3,male,0,Mr,Alone
17,C,12.0,390,2,female,1,Miss,Alone
36,S,120.0,391,1,male,1,Mr,Large
21,S,7.7958,392,3,male,1,Mr,Alone
28,S,7.925,393,3,male,0,Mr,Small
23,C,113.275,394,1,female,1,Miss,Small
24,S,16.7,395,3,female,1,Mrs,Small
22,S,7.7958,396,3,male,0,Mr,Alone
31,S,7.8542,397,3,female,0,Miss,Alone
46,S,26.0,398,2,male,0,Mr,Alone
23,S,10.5,399,2,male,0,Rare,Alone
28,S,12.65,400,2,female,1,Mrs,Alone
39,S,7.925,401,3,male,1,Mr,Alone
26,S,8.05,402,3,male,0,Mr,Alone
21,S,9.825,403,3,female,0,Miss,Small
28,S,15.85,404,3,male,0,Mr,Small
20,S,8.6625,405,3,female,0,Miss,Alone
34,S,21.0,406,2,male,0,Mr,Small
51,S,7.75,407,3,male,0,Mr,Alone
3,S,18.75,408,2,male,1,Master,Small
21,S,7.775,409,3,male,0,Mr,Alone
22,S,25.4667,410,3,female,0,Miss,Large
25,S,7.8958,411,3,male,0,Mr,Alone
25,Q,6.8583,412,3,male,0,Mr,Alone
33,Q,90.0,413,1,female,1,Miss,Small
29,S,0.0,414,2,male,0,Mr,Alone
44,S,7.925,415,3,male,1,Mr,Alone
22,S,8.05,416,3,female,0,Mrs,Alone
34,S,32.5,417,2,female,1,Mrs,Small
18,S,13.0,418,2,female,1,Miss,Small
30,S,13.0,419,2,male,0,Mr,Alone
10,S,24.15,420,3,female,0,Miss,Small
25,C,7.8958,421,3,male,0,Mr,Alone
21,Q,7.7333,422,3,male,0,Mr,Alone
29,S,7.875,423,3,male,0,Mr,Alone
28,S,14.4,424,3,female,0,Mrs,Small
18,S,20.2125,425,3,male,0,Mr,Small
25,S,7.25,426,3,male,0,Mr,Alone
28,S,26.0,427,2,female,1,Mrs,Small
19,S,26.0,428,2,female,1,Miss,Alone
25,Q,7.75,429,3,male,0,Mr,Alone
32,S,8.05,430,3,male,1,Mr,Alone
28,S,26.55,431,1,male,1,Mr,Alone
22,S,16.1,432,3,female,1,Mrs,Small
42,S,26.0,433,2,female,1,Mrs,Small
17,S,7.125,434,3,male,0,Mr,Alone
50,S,55.9,435,1,male,0,Mr,Small
14,S,120.0,436,1,female,1,Miss,Large
21,S,34.375,437,3,female,0,Miss,Large
24,S,18.75,438,2,female,1,Mrs,Large
64,S,263.0,439,1,male,0,Mr,Large
31,S,10.5,440,2,male,0,Mr,Alone
45,S,26.25,441,2,female,1,Mrs,Small
20,S,9.5,442,3,male,0,Mr,Alone
25,S,7.775,443,3,male,0,Mr,Small
28,S,13.0,444,2,female,1,Miss,Alone
25,S,8.1125,445,3,male,1,Mr,Alone
4,S,81.8583,446,1,male,1,Master,Small
13,S,19.5,447,2,female,1,Miss,Small
34,S,26.55,448,1,male,1,Mr,Alone
5,C,19.2583,449,3,female,1,Miss,Large
52,S,30.5,450,1,male,1,Rare,Alone
36,S,27.75,451,2,male,0,Mr,Large
25,S,19.9667,452,3,male,0,Mr,Small
30,C,27.75,453,1,male,0,Mr,Alone
49,C,89.1042,454,1,male,1,Mr,Small
25,S,8.05,455,3,male,0,Mr,Alone
29,C,7.8958,456,3,male,1,Mr,Alone
65,S,26.55,457,1,male,0,Mr,Alone
36,S,51.8625,458,1,female,1,Mrs,Small
50,S,10.5,459,2,female,1,Miss,Alone
25,Q,7.75,460,3,male,0,Mr,Alone
48,S,26.55,461,1,male,1,Mr,Alone
34,S,8.05,462,3,male,0,Mr,Alone
47,S,38.5,463,1,male,0,Mr,Alone
48,S,13.0,464,2,male,0,Mr,Alone
25,S,8.05,465,3,male,0,Mr,Alone
38,S,7.05,466,3,male,0,Mr,Alone
29,S,0.0,467,2,male,0,Mr,Alone
56,S,26.55,468,1,male,0,Mr,Alone
25,Q,7.725,469,3,male,0,Mr,Alone
0,C,19.2583,470,3,female,1,Miss,Large
25,S,7.25,471,3,male,0,Mr,Alone
38,S,8.6625,472,3,male,0,Mr,Alone
33,S,27.75,473,2,female,1,Mrs,Large
23,C,13.7917,474,2,female,1,Mrs,Alone
22,S,9.8375,475,3,female,0,Miss,Alone
42,S,52.0,476,1,male,0,Mr,Alone
34,S,21.0,477,2,male,0,Mr,Small
29,S,7.0458,478,3,male,0,Mr,Small
22,S,7.5208,479,3,male,0,Mr,Alone
2,S,12.2875,480,3,female,1,Miss,Small
9,S,46.9,481,3,male,0,Master,Large
29,S,0.0,482,2,male,0,Mr,Alone
50,S,8.05,483,3,male,0,Mr,Alone
63,S,9.5875,484,3,female,1,Mrs,Alone
25,C,91.0792,485,1,male,1,Mr,Small
22,S,25.4667,486,3,female,0,Miss,Large
35,S,90.0,487,1,female,1,Mrs,Small
58,C,29.7,488,1,male,0,Mr,Alone
30,S,8.05,489,3,male,0,Mr,Alone
9,S,15.9,490,3,male,1,Master,Small
25,S,19.9667,491,3,male,0,Mr,Small
21,S,7.25,492,3,male,0,Mr,Alone
55,S,30.5,493,1,male,0,Mr,Alone
71,C,49.5042,494,1,male,0,Mr,Alone
21,S,8.05,495,3,male,0,Mr,Alone
25,C,14.4583,496,3,male,0,Mr,Alone
54,C,78.2667,497,1,female,1,Miss,Small
25,S,15.1,498,3,male,0,Mr,Alone
25,S,151.55,499,1,female,0,Mrs,Large
24,S,7.7958,500,3,male,0,Mr,Alone
17,S,8.6625,501,3,male,0,Mr,Alone
21,Q,7.75,502,3,female,0,Miss,Alone
22,Q,7.6292,503,3,female,0,Miss,Alone
37,S,9.5875,504,3,female,0,Miss,Alone
16,S,86.5,505,1,female,1,Miss,Alone
18,C,108.9,506,1,male,0,Mr,Small
33,S,26.0,507,2,female,1,Mrs,Small
42,S,26.55,508,1,male,1,Mr,Alone
28,S,22.525,509,3,male,0,Mr,Alone
26,S,56.4958,510,3,male,1,Mr,Alone
29,Q,7.75,511,3,male,1,Mr,Alone
25,S,8.05,512,3,male,0,Mr,Alone
36,S,26.2875,513,1,male,1,Mr,Alone
54,C,59.4,514,1,female,1,Mrs,Small
24,S,7.4958,515,3,male,0,Mr,Alone
47,S,34.0208,516,1,male,0,Mr,Alone
34,S,10.5,517,2,female,1,Mrs,Alone
25,Q,24.15,518,3,male,0,Mr,Alone
36,S,26.0,519,2,female,1,Mrs,Small
32,S,7.8958,520,3,male,0,Mr,Alone
30,S,93.5,521,1,female,1,Miss,Alone
22,S,7.8958,522,3,male,0,Mr,Alone
25,C,7.225,523,3,male,0,Mr,Alone
44,C,57.9792,524,1,female,1,Mrs,Small
25,C,7.2292,525,3,male,0,Mr,Alone
40,Q,7.75,526,3,male,0,Mr,Alone
50,S,10.5,527,2,female,1,Miss,Alone
42,S,221.7792,528,1,male,0,Mr,Alone
39,S,7.925,529,3,male,0,Mr,Alone
23,S,11.5,530,2,male,0,Mr,Large
2,S,26.0,531,2,female,1,Miss,Small
25,C,7.2292,532,3,male,0,Mr,Alone
17,C,7.2292,533,3,male,0,Mr,Small
22,C,22.3583,534,3,female,1,Mrs,Small
30,S,8.6625,535,3,female,0,Miss,Alone
7,S,26.25,536,2,female,1,Miss,Small
45,S,26.55,537,1,male,0,Rare,Alone
30,C,106.425,538,1,female,1,Miss,Alone
25,S,14.5,539,3,male,0,Mr,Alone
22,C,49.5,540,1,female,1,Miss,Small
36,S,71.0,541,1,female,1,Miss,Small
9,S,31.275,542,3,female,0,Miss,Large
11,S,31.275,543,3,female,0,Miss,Large
32,S,26.0,544,2,male,1,Mr,Small
50,C,106.425,545,1,male,0,Mr,Small
64,S,26.0,546,1,male,0,Mr,Alone
19,S,26.0,547,2,female,1,Mrs,Small
29,C,13.8625,548,2,male,1,Mr,Alone
33,S,20.525,549,3,male,0,Mr,Small
8,S,36.75,550,2,male,1,Master,Small
17,C,110.8833,551,1,male,1,Mr,Small
27,S,26.0,552,2,male,0,Mr,Alone
25,Q,7.8292,553,3,male,0,Mr,Alone
22,C,7.225,554,3,male,1,Mr,Alone
22,S,7.775,555,3,female,1,Miss,Alone
62,S,26.55,556,1,male,0,Mr,Alone
48,C,39.6,557,1,female,1,Rare,Small
42,C,227.525,558,1,male,0,Mr,Alone
39,S,79.65,559,1,female,1,Mrs,Small
36,S,17.4,560,3,female,1,Mrs,Small
25,Q,7.75,561,3,male,0,Mr,Alone
40,S,7.8958,562,3,male,0,Mr,Alone
28,S,13.5,563,2,male,0,Mr,Alone
25,S,8.05,564,3,male,0,Mr,Alone
22,S,8.05,565,3,female,0,Miss,Alone
24,S,24.15,566,3,male,0,Mr,Small
19,S,7.8958,567,3,male,0,Mr,Alone
29,S,21.075,568,3,female,0,Mrs,Large
25,C,7.2292,569,3,male,0,Mr,Alone
32,S,7.8542,570,3,male,1,Mr,Alone
62,S,10.5,571,2,male,1,Mr,Alone
53,S,51.4792,572,1,female,1,Mrs,Small
36,S,26.3875,573,1,male,1,Mr,Alone
22,Q,7.75,574,3,female,1,Miss,Alone
16,S,8.05,575,3,male,0,Mr,Alone
19,S,14.5,576,3,male,0,Mr,Alone
34,S,13.0,577,2,female,1,Miss,Alone
